id,pm_template_id,step_number,task_description,expected_input_type,standard_text_expected,standard_min_value,standard_max_value,is_critical,remarks
PMTD-CTC-CP-HD-3MTH-01,PMT-CTC-SYS013-EQ006-3MTH,1,ตรวจเช็คระบบจ่ายน้ำและวาล์ว,Text,ปกติ,,,true,
PMTD-CTC-CP-HD-3MTH-02,PMT-CTC-SYS013-EQ006-3MTH,2,ตรวจสอบสภาพโครงสร้างโดยรวม,Text,ปกติ,,,false,
PMTD-CTC-CP-HD-MTH-01,PMT-CTC-SYS013-EQ006-MTH,1,ตรวจสอบการไหลของน้ำ (ทั่วถึงหรือไม่),Text,ทั่วถึง,,,false,ทำใบ Checklist ให้พนักงานตรวจสอบ
PMTD-CTC-CP-HD-MTH-02,PMT-CTC-SYS013-EQ006-MTH,2,ตรวจสอบคราบสกปรก/ตะไคร่น้ำ,Text,ไม่มี,,,false,ทำใบ Checklist ให้พนักงานตรวจสอบ
PMTD-CTC-CP-HD-MTH-03,PMT-CTC-SYS013-EQ006-MTH,3,ตรวจสอบกลิ่นผิดปกติ,Text,ไม่มี,,,false,ทำใบ Checklist ให้พนักงานตรวจสอบ
PMTD-CTC-EO-CM-3MTH-01,PMT-CTC-SYS016-EQ037-3MTH,1,ตรวจสอบสภาพของเต้ารับ,Text,"ปกติ (ไม่มีรอยไหม้, การแตกร้าว)",,,false,
PMTD-CTC-EO-CM-3MTH-02,PMT-CTC-SYS016-EQ037-3MTH,2,ตรวจสอบความแน่นของเต้ารับกับผนัง/บล็อก,Text,แน่นหนา,,,false,
PMTD-CTC-LP-CM-3MTH-01,PMT-CTC-SYS015-EQ036-3MTH,1,ทำความสะอาดตู้,Text,สะอาด,,,false,
PMTD-CTC-LP-CM-3MTH-02,PMT-CTC-SYS015-EQ036-3MTH,2,ตรวจสอบมิเตอร์และหลอดไฟแสดงสถานะ,Text,ปกติ,,,false,
PMTD-CTC-LP-CM-3MTH-03,PMT-CTC-SYS015-EQ036-3MTH,3,ตรวจสอบเบรกเกอร์ (MCB) แต่ละตัว,Text,สภาพดีและทำงานปกติ,,,true,
PMTD-CTC-LP-CM-6MTH-01,PMT-CTC-SYS015-EQ036-6MTH,1,ตรวจสอบจุดร้อน (PdM),Text,ไม่มีจุดร้อนผิดปกติ,,,true,หากมีอุปกรณ์
PMTD-CTC-LP-CM-6MTH-02,PMT-CTC-SYS015-EQ036-6MTH,2,ขันแน่นจุดเชื่อมต่อสายไฟภายในตู้,Text,แน่นหนา,,,true,
PMTD-CTC-LP-HD-3MTH-01,PMT-CTC-SYS014-EQ034-3MTH,1,วัดโหลดกระแสไฟฟ้าของวงจรหลัก,Number,,,,true,
PMTD-CTC-LP-HD-3MTH-02,PMT-CTC-SYS014-EQ034-3MTH,2,ตรวจสอบจุดร้อน (PdM) ด้วย Thermal Camera,Text,ไม่มีจุดร้อนผิดปกติ,,,true,
PMTD-CTC-LP-HD-3MTH-03,PMT-CTC-SYS014-EQ034-3MTH,3,ขันแน่นจุดเชื่อมต่อสายไฟภายในตู้,Text,แน่นหนา,,,true,
PMTD-CTC-LP-HD-MTH-01,PMT-CTC-SYS014-EQ034-MTH,1,ตรวจสอบความสะอาดภายนอกตู้,Text,สะอาด,,,false,ทำใบ Checklist ให้พนักงานตรวจสอบ
PMTD-CTC-LP-HD-MTH-02,PMT-CTC-SYS014-EQ034-MTH,2,ตรวจสอบหลอดไฟแสดงสถานะ,Text,ติดปกติ,,,false,ทำใบ Checklist ให้พนักงานตรวจสอบ
PMTD-CTC-LP-HD-MTH-03,PMT-CTC-SYS014-EQ034-MTH,3,ตรวจสอบเสียงหรือกลิ่นผิดปกติ,Text,ไม่มี,,,true,ทำใบ Checklist ให้พนักงานตรวจสอบ
PMTD-CTC-LS-CM-3MTH-01,PMT-CTC-SYS017-EQ038-3MTH,1,ตรวจสอบการทำงานของหลอดไฟแต่ละจุด,Text,ปกติ,,,false,
PMTD-CTC-LS-CM-3MTH-02,PMT-CTC-SYS017-EQ038-3MTH,2,เปลี่ยนหลอดไฟที่ชำรุดหรือเสื่อมสภาพ,Text,เสร็จสมบูรณ์,,,false,
PMTD-CTC-LS-CM-3MTH-03,PMT-CTC-SYS017-EQ038-3MTH,3,ตรวจสอบสภาพสวิตช์ไฟ,Text,ปกติ,,,false,
